date_key,date,year,quarter,month,month_name,day
20130118,2013-01-18,2013,1,1,January,18
20130123,2013-01-23,2013,1,1,January,23
20130124,2013-01-24,2013,1,1,January,24
20130125,2013-01-25,2013,1,1,January,25
20130130,2013-01-30,2013,1,1,January,30
20130131,2013-01-31,2013,1,1,January,31
20130206,2013-02-06,2013,1,2,February,6
20130207,2013-02-07,2013,1,2,February,7
20130208,2013-02-08,2013,1,2,February,8
20130213,2013-02-13,2013,1,2,February,13
20130214,2013-02-14,2013,1,2,February,14
20130221,2013-02-21,2013,1,2,February,21
20130227,2013-02-27,2013,1,2,February,27
20130301,2013-03-01,2013,1,3,March,1
20130306,2013-03-06,2013,1,3,March,6
20130307,2013-03-07,2013,1,3,March,7
20130314,2013-03-14,2013,1,3,March,14
20130315,2013-03-15,2013,1,3,March,15
20130320,2013-03-20,2013,1,3,March,20
20130321,2013-03-21,2013,1,3,March,21
20130322,2013-03-22,2013,1,3,March,22
20130327,2013-03-27,2013,1,3,March,27
20130328,2013-03-28,2013,1,3,March,28
20130329,2013-03-29,2013,1,3,March,29
20130405,2013-04-05,2013,2,4,April,5
20130410,2013-04-10,2013,2,4,April,10
20130411,2013-04-11,2013,2,4,April,11
20130412,2013-04-12,2013,2,4,April,12
20130417,2013-04-17,2013,2,4,April,17
20130418,2013-04-18,2013,2,4,April,18
20130426,2013-04-26,2013,2,4,April,26
20130505,2013-05-05,2013,2,5,May,5
20130509,2013-05-09,2013,2,5,May,9
20130515,2013-05-15,2013,2,5,May,15
20130521,2013-05-21,2013,2,5,May,21
20130523,2013-05-23,2013,2,5,May,23
20130529,2013-05-29,2013,2,5,May,29
20130530,2013-05-30,2013,2,5,May,30
20130531,2013-05-31,2013,2,5,May,31
20130607,2013-06-07,2013,2,6,June,7
20130612,2013-06-12,2013,2,6,June,12
20130619,2013-06-19,2013,2,6,June,19
20130626,2013-06-26,2013,2,6,June,26
20130627,2013-06-27,2013,2,6,June,27
20130703,2013-07-03,2013,3,7,July,3
20130711,2013-07-11,2013,3,7,July,11
20130712,2013-07-12,2013,3,7,July,12
20130717,2013-07-17,2013,3,7,July,17
20130718,2013-07-18,2013,3,7,July,18
20130720,2013-07-20,2013,3,7,July,20
20130721,2013-07-21,2013,3,7,July,21
20130730,2013-07-30,2013,3,7,July,30
20130801,2013-08-01,2013,3,8,August,1
20130802,2013-08-02,2013,3,8,August,2
20130807,2013-08-07,2013,3,8,August,7
20130808,2013-08-08,2013,3,8,August,8
20130809,2013-08-09,2013,3,8,August,9
20130814,2013-08-14,2013,3,8,August,14
20130815,2013-08-15,2013,3,8,August,15
20130816,2013-08-16,2013,3,8,August,16
20130820,2013-08-20,2013,3,8,August,20
20130821,2013-08-21,2013,3,8,August,21
20130902,2013-09-02,2013,3,9,September,2
20130904,2013-09-04,2013,3,9,September,4
20130912,2013-09-12,2013,3,9,September,12
20130913,2013-09-13,2013,3,9,September,13
20130919,2013-09-19,2013,3,9,September,19
20130921,2013-09-21,2013,3,9,September,21
20130924,2013-09-24,2013,3,9,September,24
20130926,2013-09-26,2013,3,9,September,26
20131003,2013-10-03,2013,4,10,October,3
20131009,2013-10-09,2013,4,10,October,9
20131010,2013-10-10,2013,4,10,October,10
20131016,2013-10-16,2013,4,10,October,16
20131018,2013-10-18,2013,4,10,October,18
20131022,2013-10-22,2013,4,10,October,22
20131024,2013-10-24,2013,4,10,October,24
20131025,2013-10-25,2013,4,10,October,25
20131030,2013-10-30,2013,4,10,October,30
20131031,2013-10-31,2013,4,10,October,31
20131101,2013-11-01,2013,4,11,November,1
20131108,2013-11-08,2013,4,11,November,8
20131112,2013-11-12,2013,4,11,November,12
20131115,2013-11-15,2013,4,11,November,15
20131117,2013-11-17,2013,4,11,November,17
20131120,2013-11-20,2013,4,11,November,20
20131123,2013-11-23,2013,4,11,November,23
20131128,2013-11-28,2013,4,11,November,28
20131129,2013-11-29,2013,4,11,November,29
20131203,2013-12-03,2013,4,12,December,3
20131206,2013-12-06,2013,4,12,December,6
20131211,2013-12-11,2013,4,12,December,11
20131213,2013-12-13,2013,4,12,December,13
20131218,2013-12-18,2013,4,12,December,18
20131219,2013-12-19,2013,4,12,December,19
20131224,2013-12-24,2013,4,12,December,24
20131225,2013-12-25,2013,4,12,December,25
20131226,2013-12-26,2013,4,12,December,26
20140101,2014-01-01,2014,1,1,January,1
20140107,2014-01-07,2014,1,1,January,7
20140108,2014-01-08,2014,1,1,January,8
20140109,2014-01-09,2014,1,1,January,9
20140110,2014-01-10,2014,1,1,January,10
20140115,2014-01-15,2014,1,1,January,15
20140117,2014-01-17,2014,1,1,January,17
20140122,2014-01-22,2014,1,1,January,22
20140124,2014-01-24,2014,1,1,January,24
20140129,2014-01-29,2014,1,1,January,29
20140130,2014-01-30,2014,1,1,January,30
20140206,2014-02-06,2014,1,2,February,6
20140207,2014-02-07,2014,1,2,February,7
20140212,2014-02-12,2014,1,2,February,12
20140213,2014-02-13,2014,1,2,February,13
20140214,2014-02-14,2014,1,2,February,14
20140218,2014-02-18,2014,1,2,February,18
20140226,2014-02-26,2014,1,2,February,26
20140228,2014-02-28,2014,1,2,February,28
20140305,2014-03-05,2014,1,3,March,5
20140307,2014-03-07,2014,1,3,March,7
20140312,2014-03-12,2014,1,3,March,12
20140314,2014-03-14,2014,1,3,March,14
20140319,2014-03-19,2014,1,3,March,19
20140320,2014-03-20,2014,1,3,March,20
20140321,2014-03-21,2014,1,3,March,21
20140403,2014-04-03,2014,2,4,April,3
20140411,2014-04-11,2014,2,4,April,11
20140416,2014-04-16,2014,2,4,April,16
20140417,2014-04-17,2014,2,4,April,17
20140422,2014-04-22,2014,2,4,April,22
20140508,2014-05-08,2014,2,5,May,8
20140509,2014-05-09,2014,2,5,May,9
20140514,2014-05-14,2014,2,5,May,14
20140515,2014-05-15,2014,2,5,May,15
20140521,2014-05-21,2014,2,5,May,21
20140522,2014-05-22,2014,2,5,May,22
20140527,2014-05-27,2014,2,5,May,27
20140528,2014-05-28,2014,2,5,May,28
20140602,2014-06-02,2014,2,6,June,2
20140605,2014-06-05,2014,2,6,June,5
20140614,2014-06-14,2014,2,6,June,14
20140618,2014-06-18,2014,2,6,June,18
20140620,2014-06-20,2014,2,6,June,20
20140625,2014-06-25,2014,2,6,June,25
20140627,2014-06-27,2014,2,6,June,27
20140701,2014-07-01,2014,3,7,July,1
20140702,2014-07-02,2014,3,7,July,2
20140708,2014-07-08,2014,3,7,July,8
20140710,2014-07-10,2014,3,7,July,10
20140715,2014-07-15,2014,3,7,July,15
20140717,2014-07-17,2014,3,7,July,17
20140719,2014-07-19,2014,3,7,July,19
20140723,2014-07-23,2014,3,7,July,23
20140725,2014-07-25,2014,3,7,July,25
20140729,2014-07-29,2014,3,7,July,29
20140730,2014-07-30,2014,3,7,July,30
20140801,2014-08-01,2014,3,8,August,1
20140806,2014-08-06,2014,3,8,August,6
20140807,2014-08-07,2014,3,8,August,7
20140808,2014-08-08,2014,3,8,August,8
20140813,2014-08-13,2014,3,8,August,13
20140814,2014-08-14,2014,3,8,August,14
20140815,2014-08-15,2014,3,8,August,15
20140820,2014-08-20,2014,3,8,August,20
20140821,2014-08-21,2014,3,8,August,21
20140822,2014-08-22,2014,3,8,August,22
20140827,2014-08-27,2014,3,8,August,27
20140830,2014-08-30,2014,3,8,August,30
20140910,2014-09-10,2014,3,9,September,10
20140911,2014-09-11,2014,3,9,September,11
20140912,2014-09-12,2014,3,9,September,12
20140918,2014-09-18,2014,3,9,September,18
20140924,2014-09-24,2014,3,9,September,24
20141001,2014-10-01,2014,4,10,October,1
20141008,2014-10-08,2014,4,10,October,8
20141009,2014-10-09,2014,4,10,October,9
20141010,2014-10-10,2014,4,10,October,10
20141015,2014-10-15,2014,4,10,October,15
20141016,2014-10-16,2014,4,10,October,16
20141017,2014-10-17,2014,4,10,October,17
20141023,2014-10-23,2014,4,10,October,23
20141024,2014-10-24,2014,4,10,October,24
20141105,2014-11-05,2014,4,11,November,5
20141107,2014-11-07,2014,4,11,November,7
20141112,2014-11-12,2014,4,11,November,12
20141114,2014-11-14,2014,4,11,November,14
20141119,2014-11-19,2014,4,11,November,19
20141122,2014-11-22,2014,4,11,November,22
20141124,2014-11-24,2014,4,11,November,24
20141126,2014-11-26,2014,4,11,November,26
20141203,2014-12-03,2014,4,12,December,3
20141205,2014-12-05,2014,4,12,December,5
20141210,2014-12-10,2014,4,12,December,10
20141212,2014-12-12,2014,4,12,December,12
20141216,2014-12-16,2014,4,12,December,16
20141217,2014-12-17,2014,4,12,December,17
20141218,2014-12-18,2014,4,12,December,18
20141224,2014-12-24,2014,4,12,December,24
20141225,2014-12-25,2014,4,12,December,25
20141230,2014-12-30,2014,4,12,December,30
20150116,2015-01-16,2015,1,1,January,16
20150121,2015-01-21,2015,1,1,January,21
20150123,2015-01-23,2015,1,1,January,23
20150124,2015-01-24,2015,1,1,January,24
20150128,2015-01-28,2015,1,1,January,28
20150129,2015-01-29,2015,1,1,January,29
20150130,2015-01-30,2015,1,1,January,30
20150204,2015-02-04,2015,1,2,February,4
20150205,2015-02-05,2015,1,2,February,5
20150211,2015-02-11,2015,1,2,February,11
20150219,2015-02-19,2015,1,2,February,19
20150220,2015-02-20,2015,1,2,February,20
20150225,2015-02-25,2015,1,2,February,25
20150226,2015-02-26,2015,1,2,February,26
20150304,2015-03-04,2015,1,3,March,4
20150306,2015-03-06,2015,1,3,March,6
20150307,2015-03-07,2015,1,3,March,7
20150311,2015-03-11,2015,1,3,March,11
20150318,2015-03-18,2015,1,3,March,18
20150320,2015-03-20,2015,1,3,March,20
20150326,2015-03-26,2015,1,3,March,26
20150401,2015-04-01,2015,2,4,April,1
20150402,2015-04-02,2015,2,4,April,2
20150409,2015-04-09,2015,2,4,April,9
20150416,2015-04-16,2015,2,4,April,16
20150418,2015-04-18,2015,2,4,April,18
20150422,2015-04-22,2015,2,4,April,22
20150423,2015-04-23,2015,2,4,April,23
20150501,2015-05-01,2015,2,5,May,1
20150506,2015-05-06,2015,2,5,May,6
20150507,2015-05-07,2015,2,5,May,7
20150508,2015-05-08,2015,2,5,May,8
20150513,2015-05-13,2015,2,5,May,13
20150519,2015-05-19,2015,2,5,May,19
20150520,2015-05-20,2015,2,5,May,20
20150522,2015-05-22,2015,2,5,May,22
20150527,2015-05-27,2015,2,5,May,27
20150528,2015-05-28,2015,2,5,May,28
20150529,2015-05-29,2015,2,5,May,29
20150603,2015-06-03,2015,2,6,June,3
20150604,2015-06-04,2015,2,6,June,4
20150606,2015-06-06,2015,2,6,June,6
20150617,2015-06-17,2015,2,6,June,17
20150618,2015-06-18,2015,2,6,June,18
20150619,2015-06-19,2015,2,6,June,19
20150623,2015-06-23,2015,2,6,June,23
20150625,2015-06-25,2015,2,6,June,25
20150701,2015-07-01,2015,3,7,July,1
20150710,2015-07-10,2015,3,7,July,10
20150714,2015-07-14,2015,3,7,July,14
20150716,2015-07-16,2015,3,7,July,16
20150717,2015-07-17,2015,3,7,July,17
20150722,2015-07-22,2015,3,7,July,22
20150728,2015-07-28,2015,3,7,July,28
20150729,2015-07-29,2015,3,7,July,29
20150730,2015-07-30,2015,3,7,July,30
20150731,2015-07-31,2015,3,7,July,31
20150805,2015-08-05,2015,3,8,August,5
20150806,2015-08-06,2015,3,8,August,6
20150811,2015-08-11,2015,3,8,August,11
20150813,2015-08-13,2015,3,8,August,13
20150819,2015-08-19,2015,3,8,August,19
20150820,2015-08-20,2015,3,8,August,20
20150826,2015-08-26,2015,3,8,August,26
20150828,2015-08-28,2015,3,8,August,28
20150902,2015-09-02,2015,3,9,September,2
20150904,2015-09-04,2015,3,9,September,4
20150909,2015-09-09,2015,3,9,September,9
20150910,2015-09-10,2015,3,9,September,10
20150911,2015-09-11,2015,3,9,September,11
20150917,2015-09-17,2015,3,9,September,17
20150921,2015-09-21,2015,3,9,September,21
20150923,2015-09-23,2015,3,9,September,23
20150924,2015-09-24,2015,3,9,September,24
20150925,2015-09-25,2015,3,9,September,25
20150930,2015-09-30,2015,3,9,September,30
20151002,2015-10-02,2015,4,10,October,2
