movie_key,tmdb_id,movie_title,release_date,wikipedia_url,genre_1,genre_2,genre_3,genre_4,genre_5,genre_6,director_1,director_2,cast_1,cast_2,cast_3,cast_4,cast_5,budget_usd,box_office_revenue_usd
mov_tmdb_168672,168672,American Hustle,2013-12-03,,Drama,Crime,,,,,David O. Russell,,Christian Bale,Bradley Cooper,Amy Adams,Jeremy Renner,Jennifer Lawrence,40000000,251171807
mov_tmdb_64686,64686,47 Ronin,2013-12-06,,Drama,Action,Fantasy,,,,Carl Rinsch,,Keanu Reeves,Hiroyuki Sanada,Ko Shibasaki,Tadanobu Asano,Min Tanaka,175000000,151783839
mov_tmdb_57158,57158,The Hobbit: The Desolation of Smaug,2013-12-11,,Fantasy,Adventure,Action,,,,Peter Jackson,,Ian McKellen,Martin Freeman,Richard Armitage,Benedict Cumberbatch,Orlando Bloom,250000000,958400000
mov_tmdb_109443,109443,Anchorman 2: The Legend Continues,2013-12-18,,Comedy,,,,,,Adam McKay,,Will Ferrell,Steve Carell,Paul Rudd,David Koechner,Christina Applegate,50000000,173700000
mov_tmdb_116745,116745,The Secret Life of Walter Mitty,2013-12-18,,Comedy,Drama,Fantasy,,,,Ben Stiller,,Ben Stiller,Kristen Wiig,Sean Penn,Shirley MacLaine,Adam Scott,90000000,188133322
mov_tmdb_77951,77951,Walking with Dinosaurs,2013-12-18,,Animation,Family,Adventure,,,,Neil Nightingale,Barry Cook,Karl Urban,Charlie Rowe,Angourie Rice,Justin Long,John Leguizamo,80000000,126500000
mov_tmdb_44977,44977,Dhoom 3,2013-12-19,,Action,Crime,,,,,Vijay Krishna Acharya,,Aamir Khan,Abhishek Bachchan,Katrina Kaif,Uday Chopra,Jackie Shroff,19500000,91000000
mov_tmdb_193756,193756,Lone Survivor,2013-12-24,,War,Action,Drama,,,,Peter Berg,,Mark Wahlberg,Taylor Kitsch,Emile Hirsch,Ben Foster,Eric Bana,40000000,149295601
mov_tmdb_219572,219572,Police Story: Lockdown,2013-12-24,,Action,Crime,Drama,,,,Ding Sheng,,Jackie Chan,Liu Ye,Jing Tian,Yu Rongguang,Yin Tao,35000000,94249025
mov_tmdb_106646,106646,The Wolf of Wall Street,2013-12-25,,Crime,Drama,Comedy,,,,Martin Scorsese,,Leonardo DiCaprio,Jonah Hill,Margot Robbie,Matthew McConaughey,Kyle Chandler,100000000,407038432
mov_tmdb_152737,152737,August: Osage County,2013-12-26,,Comedy,Drama,,,,,John Wells,,Meryl Streep,Julia Roberts,Julianne Nicholson,Juliette Lewis,Ewan McGregor,25000000,74188937
mov_tmdb_227348,227348,Paranormal Activity: The Marked Ones,2014-01-01,,Horror,Thriller,,,,,Christopher Landon,,Andrew Jacobs,Jorge Diaz,Gabrielle Walsh,Renée Victor,Carlos Pratts,5000000,90894962
mov_tmdb_168530,168530,Ride Along,2014-01-07,,Action,Comedy,,,,,Tim Story,,Ice Cube,Kevin Hart,John Leguizamo,Bruce McGill,Tika Sumpter,25000000,153997819
mov_tmdb_119892,119892,The Monkey King,2014-01-09,,Action,Adventure,Family,Fantasy,,,Soi Cheang,,Donnie Yen,Aaron Kwok Fu-Shing,Joe Chen,Chow Yun-Fat,Peter Ho,82000000,182206924
mov_tmdb_137094,137094,Jack Ryan: Shadow Recruit,2014-01-15,,Action,Drama,Thriller,,,,Kenneth Branagh,,Chris Pine,Keira Knightley,Kevin Costner,Kenneth Branagh,Lenn Kudrjawizki,60000000,135500000
mov_tmdb_227783,227783,The Nut Job,2014-01-17,,Animation,Comedy,Family,Adventure,,,Peter Lepeniotis,,Will Arnett,Brendan Fraser,Liam Neeson,Katherine Heigl,Stephen Lang,42000000,120885527
mov_tmdb_100241,100241,"I, Frankenstein",2014-01-22,,Horror,Thriller,,,,,Stuart Beattie,,Aaron Eckhart,Yvonne Strahovski,Bill Nighy,Jai Courtney,Miranda Otto,65000000,76801179
mov_tmdb_152760,152760,The Monuments Men,2014-01-24,,War,Drama,History,,,,George Clooney,,George Clooney,Matt Damon,Bill Murray,John Goodman,Cate Blanchett,70000000,154984035
mov_tmdb_97020,97020,RoboCop,2014-01-30,,Action,Science Fiction,Thriller,,,,José Padilha,,Joel Kinnaman,Gary Oldman,Michael Keaton,Abbie Cornish,Jackie Earle Haley,120000000,242688965
mov_tmdb_137106,137106,The Lego Movie,2014-02-06,,Animation,Family,Adventure,Comedy,Fantasy,,Phil Lord,Christopher Miller,Chris Pratt,Elizabeth Banks,Will Ferrell,Morgan Freeman,Will Arnett,60000000,470759687
mov_tmdb_82703,82703,Mr. Peabody & Sherman,2014-02-07,,Animation,Science Fiction,Comedy,Adventure,Family,,Rob Minkoff,,Ty Burrell,Max Charles,Ariel Winter,Allison Janney,Stephen Colbert,145000000,272912430
mov_tmdb_76649,76649,Pompeii,2014-02-18,,Action,Adventure,History,Romance,Drama,,Paul W. S. Anderson,,Kit Harington,Emily Browning,Adewale Akinnuoye-Agbaje,Kiefer Sutherland,Carrie-Anne Moss,100000000,117831631
mov_tmdb_225574,225574,Non-Stop,2014-02-26,,Action,Thriller,Mystery,,,,Jaume Collet-Serra,,Liam Neeson,Julianne Moore,Scoot McNairy,Michelle Dockery,Nate Parker,50000000,222809600
mov_tmdb_120467,120467,The Grand Budapest Hotel,2014-02-26,,Comedy,Drama,,,,,Wes Anderson,,Ralph Fiennes,F. Murray Abraham,Mathieu Amalric,Adrien Brody,Willem Dafoe,30000000,174600318
mov_tmdb_235260,235260,Son of God,2014-02-28,,Drama,,,,,,Christopher Spencer,,Diogo Morgado,Roma Downey,Greg Hicks,Adrian Schiller,Darwin Shaw,22000000,70829270
mov_tmdb_53182,53182,300: Rise of an Empire,2014-03-05,,Action,Drama,War,,,,Noam Murro,,Sullivan Stapleton,Eva Green,Lena Headey,Callan Mulvey,David Wenham,110000000,337580051
mov_tmdb_86834,86834,Noah,2014-03-07,,Drama,Adventure,,,,,Darren Aronofsky,,Russell Crowe,Jennifer Connelly,Ray Winstone,Anthony Hopkins,Emma Watson,125000000,362600000
mov_tmdb_136797,136797,Need for Speed,2014-03-12,,Action,Crime,Drama,Thriller,,,Scott Waugh,,Aaron Paul,Dominic Cooper,Imogen Poots,Kid Cudi,Rami Malek,66000000,203277636
